,system,vol_pv0,vol_sp0,vol_pv1,vol_sp1,vol_pv2,vol_sp2,vol_pv3,vol_sp3,vol_pv4,vol_sp4,vol_pv5,vol_sp5,vol_pv6,vol_sp6,vol_pv7,vol_sp7,vol_pv8,vol_sp8,vol_pv9,vol_sp9,vol_pv10,vol_sp10,vol_pv11,vol_sp11,vol_pv12,vol_sp12,vol_pv13,vol_sp13,vol_pv14,vol_sp14,vol_pv15,vol_sp15,vol_pv16,vol_sp16,vol_pv17,vol_sp17,vol_pv18,vol_sp18,vol_pv19,vol_sp19,vol_pv20,vol_sp20,vol_pv21,vol_sp21,vol_pv22,vol_sp22,vol_pv23,vol_sp23,vol_pv24,vol_sp24,vol_pv25,vol_sp25,vol_pv26,vol_sp26,vol_pv27,vol_sp27,vol_pv28,vol_sp28,vol_pv29,vol_sp29,vol_pv30,vol_sp30,vol_pv31,vol_sp31,vol_pv32,vol_sp32,vol_pv33,vol_sp33,vol_pv34,vol_sp34,vol_pv35,vol_sp35,vol_pv36,vol_sp36,vol_pv37,vol_sp37,vol_pv38,vol_sp38,vol_pv39,vol_sp39
7,s15_c7,0.8620645602319873,0.8879752324317326,0.9366827856726807,0.9822595203395695,1.047653666226492,1.0914036500668356,0.9900795790773407,1.0148851014427864,1.0072428489855743,1.0373532934035852,1.0566404424920086,1.0901031286207765,0.983024476709534,0.9911825210338827,1.0144087939170305,1.030374740095698,0.9604893814394317,0.975106562946029,0.9090199551641281,0.91801532110288,1.130116817643053,1.1604040241395763,1.0628997504634519,1.084660660720915,1.1672845086803758,1.195112154514354,1.1762110525872513,1.2117566796904353,1.1470981042932413,1.1928963806658208,0.9830761383029228,1.0010153540347262,1.1444327496812485,1.1765513211668905,1.0483391801701343,1.087337120021967,1.03960362358052,1.0725521271545557,0.980369523143084,1.0188915063664434,1.0429001421074309,1.0841666449390897,1.0284261414503184,1.0570073443593422,0.9753790652443097,0.9959033677192582,0.9029565953388335,0.9133088991042082,0.9680741798082044,0.9816971833444141,0.9201009101546345,0.9277828111314707,0.8899992826380321,0.9006467112738173,0.9163001212119982,0.9232181817975527,0.9882411147440362,1.0050705757354508,0.9098946438617572,0.91740378008006,0.9757858172397118,0.9897197066234904,0.9412413986145595,0.9471410103606904,1.0072942621851613,1.0212462922237622,0.9407749751103023,0.9501127874226779,0.944483158319383,0.9562155321896427,0.945928571024235,0.9565798510215511,0.9398357306650065,0.9488464828483056,1.0725094166195936,1.0893323095133254,1.2371856015964626,1.2599929442619953,1.157783356234737,1.1777512720618522
8,s23_c0,1.3332450556508688,2.9082229126936476,1.6452504770098526,2.8229170614740964,1.798736526648374,3.641498563459953,1.603126229542556,2.9026585464579058,1.8249509623932778,2.7939813966708327,1.7636150996873747,3.034150337511141,1.8136288148922395,3.141201901348389,1.440502691661337,3.0295317456078577,1.9224378892541236,3.1296038666713084,1.6297217475977863,2.9372301270336973,1.9209236840958228,3.252824782819871,1.4589276492157217,2.6680005500031116,1.8031439253139667,3.2073624413837227,1.8807435844659406,3.1823291380922987,1.6421395187807375,2.9868955091452905,1.4535466817149023,2.6765528442956756,1.3357299656598143,2.8553407790586016,1.474583739760408,2.3898506150413583,1.4330429333251755,2.8262415558636462,1.87037121955253,3.2788618641316076,1.669942206566052,2.8672412781213823,1.7333431842331497,2.975153199645913,1.6556944157429845,2.6872414036808534,1.7714920152134532,3.1227327975848445,1.474300413329644,2.5165488448608406,1.4199916207022876,2.4662607896056548,1.574903334658038,2.628453612982455,1.5316278897770994,2.5573885224279405,1.6043828243776574,2.6265801573989003,1.7220850856185639,3.1145188137325173,1.875570582342313,3.1942708744567083,1.2078530998216097,2.5668185964793535,1.2364984282162048,2.827600418047136,1.111315377754516,2.5717307943548815,1.4890677752259385,2.822182136509227,2.044092112474935,3.031751548878201,1.2777665344313949,2.9355667416187554,1.5412159447177927,3.2124754739284995,1.1894609931368154,3.0549044704616746,1.5897801615663438,3.2051579092080766
9,s23_c1,2.123674981438853,3.3260038510140686,2.1278344471896053,3.3453067480603225,1.6795108186057832,2.573194024513693,2.003087729858055,3.2755121609315356,1.816223115502573,3.308886066665278,2.5629724792487116,3.568204877222732,2.9816828962280315,3.758186068477514,2.909963816930309,4.055118627943437,2.4448627191420935,4.113978381798379,3.235501495339261,4.4480521675379245,2.830344140591585,3.938260886443748,2.845254276583981,4.3415162975167565,2.3129519666844742,3.767094312266812,2.3549498513584455,3.979765129498953,2.419873240707387,3.8196340072286046,2.2214462411383575,3.655602742126331,2.398225173651771,3.488364327232731,2.55939865258937,4.273392339936948,2.5210633599806713,4.623890067098432,3.2595155955802024,4.798710724559296,2.7472795571623663,4.713661917065552,2.4009923685060737,4.022462255954984,2.5797475259074543,4.320950929414993,2.6144910023562544,3.851195308872684,2.28357645928655,3.713583480915791,3.077284376661423,4.34867482997094,2.9439385925215675,4.726607551028229,2.3482495248995274,4.328054032271581,2.560350711480186,4.046235717761965,2.4702267100678683,4.438394325704475,2.7928135718347993,4.393546538769421,2.4905179771894472,4.124490784662084,2.257494584926423,3.949254849254623,2.5858277513202013,4.344327128196432,1.9853633349201796,3.3262782780640365,2.4744299162848744,3.9220534979230735,2.543767074415147,4.051693003726877,1.9159965024288008,3.641518497263641,2.360911305193226,4.124388953651909,2.6722182488665713,4.175265588647611
10,s23_c2,1.5775608195204147,2.6669008767784597,2.1648529686680535,3.3587274048304896,1.739203542080711,2.8030032507136884,1.6239407777844161,3.2241430750523943,1.3237399810470176,2.539993203919086,1.5616294341202361,3.1169469347807213,1.0443105720881245,2.572639294667719,1.292387747761911,3.3829238508325705,1.163591207561112,2.82502018280264,1.3408758929446125,2.7836135923000915,1.2025931691757288,2.8026684495290906,1.4572125069580955,2.8945499143609013,1.6000440470384538,3.036163166657363,1.559944111951622,3.0315003319554923,1.456963763254324,3.0130225092500225,1.8627015639290332,3.3040624813109334,1.590363163707913,2.926062280199297,1.7029539169305081,3.333587314399653,1.7174798781636718,3.155384107448287,1.4941269224837928,2.888724367971224,1.1981176489030518,2.6939606874666073,2.1749818698710826,3.745189722427693,2.6808729600593195,4.1920867541091456,2.638045132255794,3.8039722078960163,2.4544309209682647,4.3645841154541305,2.648681842491896,4.442984395552184,2.0678207008873555,4.174581217611884,2.0121718358512863,3.924256314194858,2.1280187484823507,4.312077395962899,1.9119158906441704,3.7500606554390603,2.232413337467832,3.8758617604552743,2.2634749993795746,4.381133858433625,1.9040301865299691,3.864472281464881,2.2741542893899194,4.645345107309523,1.754859122613056,3.5587473157229894,2.3146029392892022,4.426818015885329,2.1273089978641675,3.901383118710702,2.8648858906352945,4.850029295321825,1.9185411503257597,3.9485200742106374,2.500329874008105,4.784833173628445
11,s23_c3,2.1504643583000345,4.619109301000294,2.7881131772896497,4.361967653883439,2.2340060308374614,3.6965384688682374,2.0011260456268087,3.537634928048341,2.5862757951833717,4.476039600382656,2.8112108710094046,4.13360336098598,2.5375339047398207,4.114282304812085,2.7554596102964415,4.004400836460885,2.6953506452232423,4.018430909603201,2.365109662827008,4.087193255081685,3.1919875855331092,4.899019523157129,3.7838896575666596,5.145851918788074,3.6761258017506453,5.121938644179565,3.262665315193547,4.931034938841694,3.339846891961568,4.894095709316457,3.253318584873695,5.591534466213252,3.429009280231713,6.094219877513631,4.048740259254447,6.523920408564181,2.990493741233751,5.0681231924458405,2.6490752966078834,5.082103137423863,3.0405878995483713,5.213435761345385,3.1333419410829646,6.160118237309151,3.215778958795484,5.985973208541058,3.3977634440929387,5.720965057952178,3.3514923676913693,5.706587918055287,2.946307073425175,5.213287147049475,3.322397970088942,5.343331528405722,1.924343985547721,3.5798144665737732,2.6090092891385037,4.408181256208532,3.548139858787192,5.5861797437987,3.8097765829620456,5.69948766870368,2.227999518912225,4.050202243159603,2.424259130671383,4.436297021058243,2.7410390821853405,4.876081811937095,2.2710076361716407,3.8743452911317107,2.5685974497830024,4.127914570275734,2.3568868945703945,4.42322981958827,2.139664595711704,3.832107070197814,2.0309509827122993,3.2864707260531985,2.1901513567791344,3.912404427222405
12,s23_c4,1.9549450138682314,3.5192074468226187,1.67667141917131,2.9384725822650006,1.9218387602750353,3.560583901811676,1.8140776879228533,3.619927743956694,1.2241155828564578,2.561635246812937,1.5042277688193852,2.781524757132153,1.335876108609311,2.844719497813444,1.534854498974453,3.9894182944285945,1.325061719828604,3.301266295036104,1.5025556628541186,3.933070282399805,1.4278206625022114,3.9031570395316844,1.2316927496180534,2.687543218506223,1.1506955153459657,1.7668426378715856,1.078649831369588,1.592871399843005,1.0155467233666409,1.895190090736093,0.9782474132526128,1.5810723628563754,1.2817559660040891,2.4670537355387068,1.0248295295388457,2.3812040321852357,1.1447333664397223,2.765999899668531,1.066086311609542,2.560745439000451,1.016765345942019,2.5360586956567577,1.1844292147821456,2.4154105114398106,1.2639451474209418,3.1188014473569856,1.4748968569055632,3.6992432312096772,1.5038197250263188,4.138795873470431,1.3937679962407412,2.553927409474801,1.5959154428519005,4.11483180567547,1.4429277045087714,3.728774970066203,1.5686476892939092,3.525597088585188,1.6855509211185777,4.304292671165564,1.4636191010507642,4.27676467293093,1.410842884062891,3.6854905704348355,1.6375919485035562,3.898583800857838,1.6552486575844054,4.370523054869689,2.1152442998159944,4.3097130449490075,1.888364681115952,4.526641160718433,1.6767667919518312,4.500396282019306,3.701483068010374,6.413455258027666,2.8977216117122366,6.565868517396387,4.13421878870897,7.213571340178633
13,s23_c5,2.2532423840026206,3.918612043531292,2.567676656204633,5.018758467906549,3.4247824375601605,5.289788265592501,3.1659258671374224,5.504952172814085,3.0460632446177587,5.198614665046657,3.041896844770491,4.958295791600812,3.152402129833778,5.9739373633304655,3.4912153951145233,6.544555766732981,3.934515764866742,6.725196629807569,4.231203362190607,7.208338378478266,3.049405052787133,6.312312439404099,3.3665352753671294,6.981148901671866,3.3702971048116033,6.894263085043701,5.0599720381122575,7.3040643242274985,3.698545097952757,6.7814669137458266,4.050846671950731,7.463867814110765,3.593637272013929,7.024108733380485,4.484593444487954,7.973923270956479,4.814493315905205,8.178118502134073,3.2898319016952344,7.352890632225652,4.110124591237168,8.190530482495209,4.1045944884416565,7.746827552409477,4.590060549846197,8.897680621441024,3.9630379156320674,7.939195458782203,4.935131470465849,8.3969326236434,4.67943972040601,7.453255984988737,4.40033315540204,7.35024280739615,5.779144947489376,8.025898697902756,5.222106052791848,7.962937114472913,5.335613254967613,8.255935538439894,4.110372536965397,6.87478790130879,4.805052037808445,8.443566466159423,4.496295966828512,7.851659472165942,5.702980157700915,7.864944912343272,4.890878277078844,7.426488186462308,5.515605216884361,8.245066121174114,4.719640888812791,6.949267314671793,5.008491465306586,7.250804184184606,5.082032517272038,7.69585033290992,5.678705195799659,8.401185682045762
14,s23_c6,1.6922809791948838,3.2003784262812784,3.815619806153187,6.19656137442132,3.729371705893061,6.089625984846382,3.3142056272627287,6.039874784753567,3.4895585462110192,6.191470321425109,4.344478631492338,7.053465372778487,3.404108620419146,5.989774356967575,4.803319101910231,7.559264365828271,5.148992887425686,7.710238223024332,4.50397777046318,7.993448311230825,3.511098286306465,7.171713696420291,2.977640440647379,6.700327586719458,4.56444325157879,8.749834217758186,4.531623836876944,8.497038384031061,5.399631670763755,9.170779791926861,3.512027431345525,8.5037778195173,4.83835212207027,9.561988137542539,5.3724405063135325,10.751821390939662,6.013228813901278,11.09156703794659,6.056755945337593,11.37612008142233,4.1937867331246865,9.447006481556592,5.186114871005897,9.954311396051136,3.909581364514732,9.2631606721105,4.8416646364679865,9.424411691643007,5.443724916682462,9.981052771818955,4.296460273440332,8.147447064797158,4.99050435461314,8.693028869878505,6.120826057238422,10.022130010628377,5.086602451259827,8.751078966477703,5.169410650611586,8.925797684082292,4.89055013358894,8.448526346067064,5.010135675214082,8.312260114216262,5.91816769619139,9.059796019959121,5.5810814157031565,9.384015748663591,4.239520502547113,8.134487485128085,4.247237395812304,8.03491076134849,3.6162564026005057,7.344003349170839,4.192928499055946,7.817242966824045,4.749292274808973,8.751185836407137,5.145775673770877,9.690831765244056
15,s23_c7,2.5111629590064455,4.07153564652829,2.7146738863128754,4.393497996837627,3.0159017790284954,4.941625724000263,2.3750776555528312,4.766513029523578,2.7490810033468347,5.721994918740604,2.907986403162545,5.977859277109105,2.8201228292460754,6.381907689895192,2.649561927272778,6.4747715320170505,3.727910637581409,7.190714360231859,4.948140042194784,8.472888528749419,5.6015791727876785,10.232069439203864,4.951338823470513,9.230626763469921,4.44650076847634,9.38634193644843,5.799509712617619,11.090378514944772,5.99716006857621,11.260062836590002,5.5047943035490405,11.912298167036154,5.0155473413551075,11.638784907277394,5.028301958230433,10.31244534637555,4.823224350432808,10.460339000733208,5.157439128142884,10.233168846039744,5.3156526294132,9.781076057766356,3.7277239334976513,8.980081712505337,4.260381805401599,9.268046999267789,4.899444004754796,10.64770578229946,4.060571242323464,10.031621358366424,4.130497476852435,9.125559954418096,4.497082759363095,9.624868737985787,4.76975501635436,9.828520315079766,3.4623687860288963,8.875464741616053,4.078831263565648,9.722369550628658,3.8264023759281716,10.552578783595406,3.776232494192393,9.567796546480015,5.048534679475262,8.854048556156,4.461957972504896,8.719113333780061,4.01997921562142,8.740171458903149,5.965100905132016,9.931276324291442,6.040314602921591,9.636322938081838,4.6517540431962905,8.783109875108844,5.549447804606903,9.295979692189112,6.230852776896194,9.285928139353091
16,s39_c0,6.765616309038361,13.00533887533831,7.095312254471372,13.164387559339492,7.763150871067566,13.658973997115353,7.755242592993109,12.398354765575993,6.455131417984393,12.086133964155415,7.410248816136782,11.945843052837072,6.738141842910596,11.778759844558,4.857185157058341,11.054813082458274,6.2844111339002495,12.50021333126932,5.958324177754869,11.94982573037899,5.268463526987062,11.326188167163654,6.517915387057299,12.024177234757955,7.5041894408594905,12.516069950034229,5.910214763965972,10.99666315579046,5.207738364508328,10.868340623762025,8.63886658265536,12.830292041256758,6.641366968994718,12.30529704635004,8.529880199638374,12.925069643101246,8.167781765064728,12.184134002100155,6.517009262059631,11.795424068675333,5.139931255578905,10.211183671814767,5.306229638632095,10.524667167330946,5.124473868994906,11.589606015125348,4.112522688686694,10.017785847773375,2.719898859901275,9.405864689950358,5.25970645110725,12.473274856186935,5.738007246294784,12.086889158845118,3.188559801827118,10.618709196551126,3.512193723217216,10.080932722341235,4.584581799210555,11.040490591867728,4.380298832288421,10.732983703846484,5.330106000669266,11.237830376425888,6.8481713622988325,11.779852679943549,8.031810608568161,12.710240722034962,7.153700362566874,12.233055822379452,6.394885489361412,13.206353009375386,7.674061780713637,13.501401593237011,5.727015470634917,11.7067534909643,6.456893470058307,11.399602899732045,5.804877375972564,10.855863418276021
